NPLV,O2
511971,50.0
511972,0.0
511973,1645.0
511974,3438.0
511975,719.0
511976,764.0
511977,0.0
511978,0.0
511979,0.0
511980,0.0
511981,0.0
511982,1696.0
511983,0.0
511984,0.0
511986,0.0
511987,295.0
511988,0.0
511989,1636.0
511999,0.0
512003,1139.0
512004,1233.0
512006,0.0
512007,624.0
512009,944.0
512012,1099.0
512013,0.0
512014,0.0
512015,0.0
512016,0.0
512017,0.0
512020,0.0
512021,1712.0
512022,0.0
512023,0.0
512024,1767.0
512025,1573.0
512026,1686.0
512027,1236.0
512028,0.0
512029,0.0
512030,0.0
512031,0.0
512032,0.0
512033,0.0
512034,0.0
512035,617.0
512036,0.0
512037,1596.0
512038,0.0
512039,0.0
512040,0.0
512041,0.0
512043,0.0
512044,774.0
512045,0.0
512046,1138.0
512047,1486.0
512048,1681.0
512049,2984.0
512050,1410.0
512051,0.0
512052,0.0
512053,0.0
512054,0.0
512055,0.0
512060,0.0
512061,0.0
512062,1742.0
512063,0.0
512064,625.0
512065,1912.0
512067,1697.0
512068,1408.0
512069,1437.0
512070,1493.0
512071,8.0
512072,0.0
512073,0.0
512074,0.0
512075,0.0
512076,0.0
512077,0.0
512078,1173.0
512079,998.0
512080,0.0
512081,0.0
512082,0.0
512083,793.0
512084,875.0
512085,872.0
512086,1210.0
512087,0.0
512088,2613.0
512089,1534.0
512090,1260.0
512091,0.0
512092,0.0
512093,0.0
512094,0.0
512095,0.0
512096,1521.0
512097,1048.0
512098,0.0
512099,0.0
512100,0.0
512101,0.0
512103,1242.0
512104,1670.0
512105,1594.0
512107,1085.0
512108,1175.0
512109,775.0
512110,0.0
512111,2142.0
512112,0.0
512113,771.0
512114,0.0
512115,902.0
512116,1033.0
512117,0.0
512119,0.0
512120,0.0
512121,0.0
512122,0.0
512123,0.0
512124,0.0
512125,0.0
512126,0.0
512127,0.0
512128,0.0
512129,0.0
512130,2054.0
512131,2368.0
512132,2015.0
512133,2871.0
512134,1048.0
512135,2034.0
512136,1730.0
512137,2704.0
512138,1483.0
512140,0.0
512141,0.0
512142,0.0
512143,704.0
512144,0.0
512145,1930.0
512146,0.0
512147,0.0
512148,1123.0
512149,1105.0
512150,0.0
512151,0.0
512152,0.0
512153,933.0
512154,0.0
512155,0.0
512156,0.0
512157,0.0
512158,0.0
512159,1653.0
512160,0.0
512161,0.0
512162,0.0
512163,0.0
512164,0.0
512165,0.0
512166,0.0
512167,0.0
512168,1874.0
512169,1223.0
512170,1097.0
512171,0.0
512172,0.0
512173,0.0
512174,0.0
512175,0.0
512176,2538.0
512177,846.0
512178,0.0
512179,1432.0
512180,0.0
512181,1569.0
512182,0.0
512183,0.0
512184,2340.0
512185,0.0
512186,1840.0
512187,0.0
512188,2853.0
512189,907.0
512190,1155.0
512191,1247.0
512192,0.0
512193,0.0
512194,2275.0
512195,666.0
512196,762.0
512197,649.0
512199,0.0
512200,3049.0
512201,1932.0
512203,48.0
512204,2041.0
512205,1580.0
512206,1506.0
512207,30.0
512210,29.0
512211,0.0
512212,0.0
512213,1935.0
512214,0.0
512215,1564.0
512216,1316.0
512217,1322.0
512218,0.0
512219,0.0
512220,0.0
512221,1107.0
512222,1418.0
512223,0.0
512224,1917.0
512225,1512.0
512226,0.0
512227,0.0
512228,1855.0
512229,0.0
512230,1626.0
512231,0.0
512232,0.0
512233,0.0
512234,0.0
512235,0.0
512236,0.0
512237,1267.0
512238,0.0
512240,0.0
512241,81.0
512242,0.0
512243,1634.0
512244,117.0
512245,910.0
512248,726.0
512249,0.0
512250,1615.0
512251,2483.0
512252,0.0
512253,1631.0
512254,0.0
512255,0.0
512256,0.0
512257,2437.0
512258,0.0
512260,0.0
512263,0.0
512265,1867.0
512268,1936.0
512269,0.0
512270,0.0
512273,0.0
512275,0.0
512276,0.0
512277,2598.0
512278,1431.0
512279,1086.0
512280,1771.0
512281,0.0
512282,1997.0
512283,1521.0
512284,526.0
512285,1661.0
512286,0.0
512287,997.0
512288,0.0
512289,0.0
512290,4370.0
512292,0.0
512293,0.0
512294,0.0
512295,0.0
512296,0.0
512297,2896.0
512298,584.0
512299,0.0
512300,0.0
512301,0.0
512302,0.0
512303,1948.0
512304,0.0
512306,1858.0
512307,905.0
512308,720.0
512309,1332.0
512310,1019.0
512312,1057.0
512313,0.0
512314,791.0
512315,1306.0
512316,736.0
512317,0.0
512318,1917.0
512319,1660.0
512320,0.0
512321,371.0
512322,665.0
